timestamp(ms),Angle,AnglePostKalmanFilter,
"1716052879.208",,"63.06",
"1716052879.223","53.45",,
"1716052879.256",,"60.61",
"1716052879.272","57.13",,
"1716052879.304",,"59.18",
"1716052879.319","51.22",,
"1716052879.351",,"57.77",
"1716052879.352","54.2",,
"1716052879.383",,"57.16",
"1716052879.399","52.18",,
"1716052879.432",,"57.31",
"1716052879.448","56.13",,
"1716052879.48",,"57.92",
"1716052879.495","63.32",,
"1716052879.527",,"60.63",
"1716052879.543","48.67",,
"1716052879.575",,"63.59",
"1716052879.591","52.71",,
"1716052879.623",,"63.33",
"1716052879.639","55.57",,
"1716052879.672",,"61.48",
"1716052879.688","65.43",,
"1716052879.703",,"60.33",
"1716052879.719","57.97",,
"1716052879.751",,"61.07",
"1716052879.767","63.02",,
"1716052879.799",,"63.62",
"1716052879.815","72.86",,
"1716052879.847",,"68.89",
"1716052879.863","74.69",,
"1716052879.895",,"76.42",
"1716052879.911","77.11",,
"1716052879.943",,"83.72",
"1716052879.959","72.51",,
"1716052879.991",,"88.43",
"1716052880.007","78.63",,
"1716052880.039",,"89.99",
"1716052880.04","94.73",,
"1716052880.071",,"91.57",
"1716052880.087","99.55",,
"1716052880.119",,"95.18",
"1716052880.135","94.36",,
"1716052880.167",,"98.56",
"1716052880.183","98.68",,
"1716052880.215",,"101.99",
"1716052880.231","101.9",,
"1716052880.263",,"105.67",
"1716052880.279","102.2",,
"1716052880.311",,"109.07",
"1716052880.327","111.33",,
"1716052880.359",,"111.71",
"1716052880.375","113.77",,
"1716052880.407",,"113.81",
"1716052880.423","120.1",,
"1716052880.455",,"116.69",
"1716052880.471","119.64",,
"1716052880.503",,"121.54",
"1716052880.519","125.76",,
"1716052880.551",,"126.63",
"1716052880.567","127.9",,
"1716052880.599",,"131.02",
"1716052880.615","133.93",,
"1716052880.647",,"134.17",
"1716052880.663","135.34",,
"1716052880.695",,"137.41",
"1716052880.711","137.51",,
"1716052880.743",,"139.42",
"1716052880.759","143.73",,
"1716052880.791",,"141.05",
"1716052880.807","143.47",,
"1716052880.839",,"142.56",
"1716052880.855","144.73",,
"1716052880.887",,"143.59",
"1716052880.903","141.31",,
"1716052880.935",,"143.86",
"1716052880.951","144.64",,
"1716052880.983",,"142.64",
"1716052880.999","141.36",,
"1716052881.031",,"141.11",
"1716052881.047","129.26",,
"1716052881.079",,"134.64",
"1716052881.095","130.57",,
"1716052881.127",,"127.67",
"1716052881.143","122.94",,
"1716052881.175",,"120.33",
"1716052881.191","128.81",,
"1716052881.223",,"115.52",
"1716052881.239","119.64",,
"1716052881.27",,"113.52",
"1716052883.078",,"0.15",
"1716052883.094","94.36",,
"1716052883.126",,"0.41",
"1716052883.142","91.04",,
"1716052883.174",,"1.37",
"1716052883.19","95.76",,
"1716052883.222",,"2.71",
"1716052883.238","90.01",,
"1716052883.27","99.82","1.44",
"1716052883.302",,"-0.23",
"1716052883.318","102.91",,
"1716052883.35",,"-1.01",
"1716052883.366","100.28",,
"1716052883.398",,"-0.74",
"1716052883.414","101.04",,
"1716052883.446",,"0.06",
"1716052883.462","94.94",,
"1716052883.494",,"1.67",
"1716052883.51","93.32",,
"1716052883.542",,"3.59",
